Tweets,Favorite,Retweets,Engagement,Sentiment,Tweet Length,Exclamations/Questions,Capital Letters,Passion
".@KamalaHarris You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,261,2,14,16
".@SenatorCantwell  You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,265,2,14,16
".@SenFeinstein You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,261,2,14,16
"The ""MeToo"" movement was going to have its highs and lows from the start. I was hoping it wouldn't turn into 1692 Salem. Hysteria (though understandably) is the fallout.  ",0,0,0,0.0,171,0,8,8
"BrookingsInst: After the  Movement made TIME's Person of the Year, learn how tcwittes also inspired a social media outpouring on combating sexual assault & harassment  #IWill ",0,0,0,0.26666666666666666,175,0,14,14
I don?t know how anyone could read Dylan?s original letter could ever watch one of his films again. Let alone work with or for him.  ,8,3,11,0.375,133,0,5,5
"(4) 7 Reasons why sexual abuse victims don?t report it, and 7 things you can do to stop it.  | LinkedIn ",1,1,2,0.5,104,0,5,5
".@SenWarren  You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,259,2,14,16
".@SenDuckworth  You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,262,2,14,16
A Survivor?s Defense of Al Franken ? StrategyCamp ? Medium #AlFranken #DrainTheRepublicanSwamp #VoteBlue   ,0,0,0,0.0,107,0,18,18
"""To victims and survivors: you don?t have to be silent anymore."" &lt;3 

#WeSaidEnough  #BreakingTheSilence ",2,0,2,0.0,110,0,9,9
".@SenSchumer You say you?re against #sexualharassment  against women - now prove it: Who do you support in NLRB vs Murphy Oil ? Women?s right to organize against harassment, or corporations and employers right to suppress them? We?re waiting for an answer

",0,0,0,0.2857142857142857,259,2,14,16
"After the  Movement made @TIME's Person of the Year, learn how @tcwittes also inspired a social media outpouring on combating sexual assault & harassment  #IWill ",3,3,6,0.26666666666666666,162,0,12,12
Hey Mika! so is it only Libtards that can claim the ? some people can really embarrass the hell out of the whole gender. Go away! ,0,0,0,0.15,130,3,6,9
"okay but... she auditioned 5 times so she could star in a film made by a guy who preyed on & then married one of his step daughters, & sexually assaulted & abused the other. people that work w abusers are literally spitting on the  movement and have no place to speak. ",0,0,0,0.28125,269,0,2,2
"Voted #TIMETotallyFailed on @TheTylt because  didn't deserve Person of the Year 
",0,0,0,0.0,82,0,13,13
"So does the LEFT place themselves in safe places to discuss who will be what sex that day? Or Nationality? Or color? 

Such a bunch of very confused people. 

 has decided they are only LEFT women and are part of the #Resistance

Maybe it is mostly LEFT women
Think why?",0,0,0,-0.00285714285714286,277,3,22,25
I stand with Dylan Farrow. I was disgusted during such a pivotal moment of holding abusive men accountable I saw Woody Allen?s next film being publicized by @jtimberlake & Kate Winslet. They sang his praises. Gushed about honor of working w/that pedophile.  #istandwithdylan,7,2,9,-0.125,274,0,11,11
"Opinion | For black women,  came centuries too late ",0,0,0,-0.2333333333333333,52,0,4,4
"Women need to heal from our  experiences, but we need to also make sure our anger doesn't spill over onto men who could be allies.",0,0,0,-0.09999999999999998,130,0,3,3
Tell @SenateMajLdr: Sexual predators don?t belong in the #Senate  @senategop  #sexualharrassment,0,0,0,0.5,96,0,6,6
As men move out of the way for women to speak their truths realizing men have drowned out their colleagues. White women need to make space & give elevation to  accounts from women of color. ,1,1,2,-0.05,190,0,4,4
I'm a mom of three and and I won't sit by while racism and bigotry and hate try to take our country backwards. #LoveWins  #BlackLivesMatter #IAmTheResistance,7,2,9,-0.8,157,0,13,13
"Been reqatchinf @GLEEonFOX n @MrRPMurphy , an out n proud man..owes us an apology for insinuating kurt n blame r the ideal couple.. gays r people too n we don't just hook up cus 1 is fem n 1 is butch..sick of this stereotype ",0,0,0,0.8500000000000001,225,0,13,13
"So much has come out of the  movement, and it's still not easy for victims. Sarah Monahan faced a lot of abuse. We have a long way to go, still: Remembering: """"Hey Dad! actor Robert Hughes denies sex abuse claims"""".  ",2,2,4,-0.026388888888888892,217,1,9,10
After Weinstein: 40 Men Accused of Sexual Misconduct and Their Fall From Power via @NYTimes this is just the start of a global shift? beyond ? towards #March2theBallot ,0,0,0,0.25,168,0,15,15
So Here For Itsgabrielleu Speaking Out On All The Women Whose Stories And Bravery Came Before  Crystallized? ,0,0,0,0.0,109,0,19,19
so here for @itsgabrielleu speaking out on all the women whose stories and bravery came before  crystallized around white women in hollywood  ,20,6,26,0.0,142,0,2,2
"How are you going to claim to be an advocate for women?s consent, but then turn around & bully someone for having a preference as to who they let inside of their body? ? #AugustAmes  #RIP #Consent",1,0,1,0.0,196,1,9,10
Ugh. Seriously? Are they trying to destroy the  movement? At least many Clinton supporters see sense...(hopefully?) ,0,0,0,-0.08333333333333331,116,3,7,10
I am Mother Earth!  Don?t fuck with me.  ,0,0,0,-0.4,41,1,4,5
"Can we all agree to start calling ""Baby It's Cold Outside"" by the more appropriate title of ""A  Christmas"" going forward?",0,0,0,0.1,121,1,9,10
"The casting couch

 #sexualpredator #weinstein #trump #psychiatry ",0,0,0,0.0,68,0,1,1
Ciara Speaks on Unity and  | Backstage at Women in Music 2017  via @YouTube @Ciara,11,4,15,0.0,82,0,11,11
"The casting couch

 #sexualpredator #weinstein #trump #psychiatry ",0,1,1,0.0,68,0,1,1
"The casting couch

 #sexualpredator #weinstein #trump #psychiatry ",0,0,0,0.0,68,0,1,1
"The casting couch

 #sexualpredator #weinstein #trump #psychiatry ",0,0,0,0.0,68,0,1,1
"The casting couch

 #sexualpredator #weinstein #trump #psychiatry ",0,0,0,0.0,68,0,1,1
Have you experienced sexual harassment in the St. Louis city or metro area in the past year? Take our anonymous survey:  #CombatSH #STL #StLouis #Missouri #Illinois  #,0,0,0,0.35000000000000003,167,1,16,17
"Dylan Farrow, Woody Allen?s Accuser, Says  Movement Is ?Selective? ",1,0,1,0.0,67,0,11,11
Could the ERA pass in the  era?  #StopRush #UniteBlue #p2 #Resist,0,1,1,0.0,65,1,10,11
"The  movement must take into account the connection between the male domination of women, income inequality, and human domination of the planet to be transformative.",1,1,2,0.0,165,0,3,3
"Extraordinary:  rally outside Trump tower. 

Sexual harassment 
Sexual assault 
2017

",0,0,0,0.3333333333333333,92,0,4,4
" has the bulk of its offenders on the LEFT, yet there?s a rally outside of Trump Towers?! ??? Shouldn?t the rally be near a Bill Clinton bust or a Weinstein office??? This is why the Democratic Party is shrinking...

#SaturdayMorning",1,1,2,0.03333333333333333,235,5,17,22
"Imagine get paid to complain like what infowars does.

Why Feminists Stole   via @realalexjones",0,0,0,0.0,97,0,6,6
"We had a great time at our public discussion over , #TakeAKnee, and the fight to bring down Trump today! ",6,1,7,0.20185185185185187,105,1,7,8
I'm not buying this on so many levels--TIME Magazine?s 2017  'Person of the Year' Cover Story References Trump Over a Dozen Times ,1,1,2,0.5,130,0,17,17
"Isn't it odd that  welcomed @terrycrews a hero for speaking out that a MAN grabbed his crotch. 

Yet they also welcomed #leeanntweeden as a hero. A WOMAN has her own history of sexual assault. And vilified Franken.

#whythedoublestandard",1,0,1,0.3111111111111111,241,0,13,13
socialists come out swinging against  and identity politics. ,1,1,2,0.0,61,0,0,0
"Models Are Using Closed Facebook Groups to Bring Awareness to Sexually Predatory Photographers: This year has been marked by a single hashtag: . From Hollywood to the Oval Office, it seems that accusers are finding their voices and taking a stand? ",0,0,0,0.10714285714285716,248,0,18,18
"Stop cutting off the tip on baby boys dicks. What the fuck is wrong with this world? Leave them intact.  
 ",0,0,0,-0.5,108,1,5,6
Al Franken?s Resignation and the Selective Force of  ,0,0,0,0.0,53,0,7,7
One if the fallouts of  is learning which of your friends support abusers over victims.,1,0,1,0.0,87,0,3,3
"No actor or actress who knowingly supports or works with Woody Allen can support the  movement. 

cc: @blakelively, Emma Stone, Kristin Stewart, Kate Winslet, Cate Blanchett and the rest. ",0,0,0,0.0,190,0,11,11
"As long as we, as a society, keep supporting victims through movements such as , it will change the sexual assault and harassment culture. To do that, we must also keep calling out the perpetrators.  via hercampus",0,0,0,0.175,213,0,4,4
The  reckoning continues ? and it's stranger than ever | Jessica Valenti ,0,0,0,0.0,73,0,5,5
Ciara Speaks on Unity and  | Backstage at Women in Music 2017  ,23,8,31,0.0,63,0,8,8
"And I still believe her ... and all of .  Because, well, . ",0,0,0,0.0,59,0,7,7
Thanks for ur service. Now use your money and your access to spend the rest of ur career advocating for women 2 avoid even one more . ,0,0,0,0.35,134,0,2,2
"As white feminists, we must be certain not to forget that women of color have been speaking up for years and not been heard.  #POC ",0,1,1,0.10714285714285714,131,0,4,4
"No passes for Woody Allen. Women of Hollywood need to stop acting in his movies, all Americans need to stop paying to see them.
",0,0,0,0.0,129,0,8,8
How do you make amends or put right. When your father contributed to  of others. I was one . He said it was#myfault.,0,1,1,0.2857142857142857,116,0,4,4
Encore. Fun fact. Reports are Robert lived as a man before death. Said some interesting things.  #opensecret ,0,0,0,0.4,109,0,7,7
"Dylan Farrow, Woody Allen?s Accuser, Says  Movement Is ?Selective? ",1,1,2,0.0,67,0,11,11
Al Franken?s Resignation and the Selective Force of  ,0,0,0,0.0,53,0,7,7
 a cultural movement in the US against misogynist mindset and prevalence of sexual harassment. ,0,0,0,0.3,95,0,4,4
TURA! Throw cushions at our Redbubble store!  #JustDoIt #CultFilm #FasterPussycatKillKill #AsianAmerican #StayFierce  ,1,0,1,0.0,118,2,21,23
I liked a @YouTube video  Trump Lost To The  Movement,0,0,0,0.6,53,0,10,10
Still numb from all the times you defiled my body.  ,2,2,4,-0.6,52,0,3,3
Here is my acknowledgement towards our intactivist @Gregory_Malchuk for raising awareness under doctors and news journals in mass. #i2  #Intactive #i2Army #i2aw(areness). ,6,2,8,0.0,171,0,7,7
"Tarana Burke created the Me Too movement in 2006 to encourage young women to show solidarity with one another. It went viral this year after actor @milano_alyssa used the hashtag . TIME recognized Burke by naming her one of the Silence Breakers, TIME?s Person of the Year. ",19,9,28,0.1,273,0,20,20
Interesting. > Petition asks #Siri and #Alexa to flip the script on sexual harassment  ,0,0,0,0.5,87,0,6,6
This is just the tip of the iceberg. Men have taken their power for granted throughout history. Time for change ... #liberaldemocracy #equality #feminism  ,0,0,0,0.0,155,0,3,3
" is a unique opportunity for young people to foresee the consequences of foolish, thoughtless, callous behavior even if they're what everyone would consider ""a good person."" No one can claim to be unaware of how women and girls feel anymore #InTheseTimes This is #woke too.",4,0,4,0.29375,273,0,7,7
"As long as we, as a society, keep supporting victims through movements such as , it will change the sexual assault and harassment culture. To do that, we must also keep calling out the perpetrators. ",4,2,6,0.175,199,0,4,4
" movement
is stillborn in Turkey
08/12/17 Pinar Tremblay | Al Monitor
 
via @AlMonitor",3,8,11,0.0,90,0,9,9
"""#GarrisonKeillor paints himself as the world?s smuggest victim.""  ",10,4,14,-0.07500000000000001,67,0,4,4
The Railway Series generation is a huge part of the   movement and it is not an accident that many of those feeling confident doing what is right over easy did so after growing up with these books.,0,0,0,0.4238095238095239,197,0,3,3
?This  thing is more fun than #BringBackOurGirls!? ,0,0,0,0.4375,51,1,7,8
"""@MassWomen"", why did you block @Marianne_M_B, a sexual assault survivor?
Are her objections & experience not legitimate?
Do they counter any vested interests or agenda of yours?
What happened to  & #IBelieveHer?",3,3,6,0.5,215,4,13,17
Rose McGowan Calls Out Alyssa Milano for Supporting Weinstein Ex Georgina Chapman. Interesting how a little thing like  can create a firestorm. It only took eleven years. ,0,1,1,0.2325,171,0,14,14
"Dylan Farrow, Woody Allen?s Accuser, Says  Movement Is ?Selective? ",0,0,0,0.0,67,0,11,11
"[Author: danette-chappell]   
This year has been marked by a single hashtag: . From ... ",0,0,0,0.01428571428571429,89,0,5,5
"Can we please take a second to take into account the millions of women not sharing their  stories for personal reasons, you're valid and your experiences are just as significant whether you speak up or not",10,3,13,0.125,205,0,1,1
I Was Hillary Clinton?s Chief Foreign-Policy Advisor. And I Have a  Mea Culpa.  ,0,1,1,0.0,80,0,15,15
" ""Survivors"" walking around acting like they ""survived"" #TheHolocaust.",0,0,0,0.0,70,0,5,5
#MaleAllies #MaleChampions Do You See What I See? The Importance of Men as Allies  by @davidgsmithphd via @behscientist ,2,1,3,0.0,120,1,16,17
"As @thrasherxy pointed out, if we had listened to Anita Hill back in 1991 & not allowed Clarence Thomas to serve on the Supreme Court, we probably wouldn?t be in the shitty situation we are now in. Here?s to you Anita for a lifetime of standing up.  ",4,1,5,0.0,250,0,9,9
I can?t hide it anymore but I have to say it  when I was only 15.,0,0,0,0.0,65,0,5,5
"

Don't worry, it's just ""Locker Room Talk!"" ",1,0,1,0.0,47,1,6,7
"Originator of the  hashtag ten years ago, Tarana Burke (@TaranaBurke) explains it can be a? ",0,0,0,0.0,92,0,7,7
I liked a @YouTube video  Kelly Clarkson Wants  to Impact Positive Change | Backstage at Women in Music,0,0,0,0.3424242424242425,103,0,14,14
I bet Ms. Lewis isn?t praising the sexual predator that attacked her after his win.  ,0,0,0,0.65,85,0,3,3
"Is that you #gaymafia ? Protesting at my funeral. You know what your posters say ""abused this way"" and ""broken tools""  #opensecret ",0,0,0,-0.4,131,1,5,6
 Rally Invites Survivors To Speak Out In Front Of Trump Tower In NYC  #hot,0,0,0,0.25,74,0,17,17
How To Deal With Sexual Harassment   #sexualharassment,0,0,0,0.5,54,0,6,6
First day filming for #Venere! #womeninfilm  #StartTheConversation ,1,0,1,0.3125,67,1,5,6
Your Thoughts? Man Accused of Molesting Girl Put on Blast for All Social Media to See  ,0,0,0,0.03333333333333333,87,1,17,18
"#IAmTheResistance I?m a female Public School teacher, artist and women?s health advocate. #VoteBlue  WhatNext ",4,1,5,0.0,110,0,13,13
How Politics Might Sour the  Movement: Look no further than the early nineties to see how sexual harassment scandals curdle into partisan battles. ,0,0,0,0.1125,147,0,8,8
Sheryl Sandberg Warns of Possible Backlash Women May Face From  Movement   via @shespeaksup,1,0,1,0.0,91,0,12,12
"I hope @jes_chastain told this person ""go fuck yourself""  ",0,0,0,-0.4,58,0,1,1
2017 Is Saved ? The  Movement Is TIME?s Person of the Year  #globalcitizen,0,0,0,0.0,74,0,13,13
Al Franken?s Resignation and the Selective Force of  ,0,0,0,0.0,53,0,7,7
"Me Too

 #psychiatrist #pasadena #haraszti",0,0,0,0.0,44,0,2,2
"Me Too

 #psychiatrist #pasadena #haraszti",0,0,0,0.0,44,0,2,2
"Me Too

 #psychiatrist #pasadena #haraszti",0,0,0,0.0,44,0,2,2
"Me Too

 #psychiatrist #pasadena #haraszti",0,0,0,0.0,44,0,2,2
"Me Too

 #psychiatrist #pasadena #haraszti",0,0,0,0.0,44,0,2,2
"Question: Does Woody Allen have something on EVERYBODY in #Hollywood? Why is he Mr. Untouchable?  
",0,0,0,0.0,100,2,17,19
"""#Franken is creepier than you first thought. He must go, and real men must reject him.  #tcot #TCOT #Franken #frankenmustresign #franken2020 #FrankenFondles #conservatives #realmen #ALSen #ALSenate
 """,0,0,0,0.225,202,0,17,17
